Book,Subtitle,Authors,Page Count,Description,Snippet,Publisher
Filth,,['Irvine Welsh'],418,"Een Schotse politieman gaat langzaam ten onder in een orgie van corruptie, seks, drugs- en drankmisbruik en schizofrenie.","Een Schotse politieman gaat langzaam ten onder in een orgie van corruptie, seks, drugs- en drankmisbruik en schizofrenie.",Random House
India Rising,"A Multi Layered Analysis of Ideas, Interests and Institutions","['Johannes Plagemann', 'Sandra Destradi', 'Amrita Narlikar']",252,"India Rising unpacks the country’s approach to global governance by systematically considering three potential factors—ideas, interests, and institutions—that have an impact on India’s foreign policy making. The editors and contributors of this volume examine possible explanations for India’s varying compliance with global regimes and its contributions to the development and change of those regimes in areas such as nuclear non-proliferation, maritime security, counter-terrorism, cyber-governance, democracy promotion, climate change, and trade policy. The book also discusses how India is globally perceived in differing ways: as a hub of diplomatic interaction and as a difficult negotiator with a frequently inflexible stance. Looking at the prime ministerial years of Manmohan Singh and Narendra Modi’s first term, it examines India’s often ambivalent approach to global governance and foreign policy making in the backdrop of its image as a rising global power. It thus seeks to answer the primary question: What drives rising India’s conduct on the world stage?","The editors and contributors of this volume examine possible explanations for India’s varying compliance with global regimes and its contributions to the development and change of those regimes in areas such as nuclear non-proliferation, ...",Oxford University Press
Telling Stories,Storytelling and Reading Aloud in the Classroom,['Bob Barton'],146,"""Explore the art of storytelling with master storyteller Bob Barton. This comprehensive guide offers practical approaches to all forms of story including folktales, poems and novels"" Cf. Our choice, 2001.","""Explore the art of storytelling with master storyteller Bob Barton. This comprehensive guide offers practical approaches to all forms of story including folktales, poems and novels"" Cf. Our choice, 2001.",Pembroke Publishers Limited
The Night Circus,,['Erin Morgenstern'],660,"The circus arrives without warning. It is simply there, when yesterday it was not. Against the grey sky the towering tents are striped black and white. A sign hanging upon iron gates reads: Opens at Nightfall Closes at Dawn As dusk shifts to twilight, tiny lights begin to flicker all over the tents, as though the whole circus is covered in fireflies. When the tents are aglow, sparkling against the night sky, the sign lights up: Le Cirque des R�ves The Circus of Dreams The gates shudder and unlock, seemingly by their own volition. They swing outward, inviting the crowd inside. Now the circus is open Now you may enter BACKSTORY: Read an interview with Erin Morgenstern about how she invented her circus","They swing outward, inviting the crowd inside. Now the circus is open Now you may enter BACKSTORY: Read an interview with Erin Morgenstern about how she invented her circus",Random House
Julian Assange,A Story of Persecution,['Nils Melzer'],369,"The shocking story of the legal persecution of Wikileaks founder Julian Assange and the dangerous implications for the whistleblowers of the future. In July 2010, Wikileaks published Cablegate, one of the biggest leaks in the history of the US military, including evidence for war crimes and torture. In the aftermath Julian Assange, the founder and spokesman of Wikileaks, found himself at the center of a media storm, accused of hacking and later sexual assault. He spent the next seven years in asylum in the Ecuadorian embassy in London, fearful that he would be extradited to Sweden to face the accusations of assault and then sent to US. In 2019, Assange was handed over to the British police and, on the same day, the U.S. demanded his extradition. They threatened him with up to 175 years in prison for alleged espionage and computer fraud. At this point, Nils Melzer, UN Special Rapporteur on Torture, started his investigation into how the US and UK governments were working together to ensure a conviction. His findings are explosive, revealing that Assange has faced grave and systematic due process violations, judicial bias, collusion and manipulated evidence. He has been the victim of constant surveillance, defamation and threats. Melzer also gathered together consolidated medical evidence that proves that Assange has suffered prolonged psychological torture. Melzer’s compelling investigation puts the UK and US state into the dock, showing how, through secrecy, impunity and, crucially, public indifference, unchecked power reveals a deeply undemocratic system. Furthermore, the Assange case sets a dangerous precedent: once telling the truth becomes a crime, censorship and tyranny will inevitably follow. The Trial of Julian Assange is told in three parts: the first explores Nils Melzer’s own story about how he became involved in the case and why Assange’s case falls under his mandate as the Special Rapporteur on Torture. The second section returns to 2010 when Wikileaks released the largest leak in the history of the U.S. military, exposing war crimes and corruption, and Nils makes the case that Swedish authorities manipulated charges against Assange to force his extradition to the US and publicly discredit him. In the third section, the author returns to 2019 and picks up the case as Ecuador kicks Assange out of the embassy and lays out the case as it currently stands, as well as the stakes involved for other potential whistleblowers trying to serve the public interest.",The shocking story of the legal persecution of Wikileaks founder Julian Assange and the dangerous implications for the whistleblowers of the future.,Verso Books
Feynman'S Rainbow,A Search for Beauty in Physics and in Life,['Leonard Mlodinow'],151,"Einstein’s Dreams meets Tuesdays with Morrie in Leonard Mlodinow’s touching memoir about the guidance granted him by his mentor, the brilliant physicist Richard Feynman. For some, it was that special connection with a grandparent or a football coach, a boss, or a cleric. For Leonard Mlodinow, as a young physicist struggling to find his place in the world, the relationship that would most profoundly influence his life was with his mentor, the Nobel Prize-winning physicist Richard Feynman. Drawing on transcripts from his many meetings with Feynman during their time together at Cal Tech, Mlodinow shares Feynman’s provocative answers to such questions as “What is the nature of creativity?” and “How does a scientist think?” At once a moving portrait of a friendship and an affecting account of Feynman’s final, creative years, FEYNMAN’S RAINBOW celebrates the inspiring legacy of one of the greatest thinkers of our time.","For Leonard Mlodinow, as a young physicist struggling to find his place in the world, the relationship that would most profoundly influence his life was with his mentor, the Nobel Prize-winning physicist Richard Feynman.",Hachette UK
The Monk Who Sold His Ferrari,,['Robin Sharma'],224,"An internationally bestselling fable about a spiritual journey, littered with powerful life lessons that teach us how to abandon consumerism in order to embrace destiny, live life to the full and discover joy.","An internationally bestselling fable about a spiritual journey, littered with powerful life lessons that teach us how to abandon consumerism in order to embrace destiny, live life to the full and discover joy.",HarperCollins UK
The Goldfinch,,['Donna Tartt'],1006,"WINNER OF THE PULITZER PRIZE FOR FICTION Theo Decker, aged thirteen, is left alone in the world after surviving a catastrophe that kills his only close relative - his mother - and tears him away from everything he knows. Tormented by grief, drifting from home to home, he grows increasingly obsessed with a small, enchanting work of art which dominates his imagination and ultimately draws him, as an adult, into a much darker life than he could ever have foreseen. 'A masterpiece' The Times 'Astonishing' Guardian 'Superb' Daily Mail 'A gripping page turner' Independent on Sunday","WINNER OF THE PULITZER PRIZE FOR FICTION Theo Decker, aged thirteen, is left alone in the world after surviving a catastrophe that kills his only close relative - his mother - and tears him away from everything he knows.",Hachette UK
Slow,,['Daniel Kahneman'],752,"In this work the author, a recipient of the Nobel Prize in Economic Sciences for his seminal work in psychology that challenged the rational model of judgment and decision making, has brought together his many years of research and thinking in one book. He explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. He exposes the extraordinary capabilities, and also the faults and biases, of fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. He reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our business and our personal lives, and how we can use different techniques to guard against the mental glitches that often get us into trouble. This author's work has transformed cognitive psychology and launched the new fields of behavioral economics and happiness studies. In this book, he takes us on a tour of the mind and explains the two systems that drive the way we think and the way we make choices.",Psychologist Daniel Kahneman reveals the truth about our intuitions and rationality to teach us how to better our lives.,Penguin UK
Moral Disorder,,['Margaret Atwood'],272,"By the author of The Handmaid's Tale and Alias Grace This collection of short stories follows a woman at different points in her life, from the loneliness of childhood, the ardour and confusion of young adulthood, and the mortality we must all eventually face up to. Moral Disorder is Margaret Atwood at her very finest. Praise for Moral Disorder: 'Atwood entices us to flip through the photo album of a Canadian woman who closely resembles herself. Come here, sit beside me, she seems to say. Then she takes us on an emotional journey through loneliness, love, loss and old age' Sarah Emily Miano, The Times 'Atwood makes it look so easy, doing what she does best: tenderly dissecting the human heart . . . A marvellous writer' Lee Langley, Daily Mail 'A model of distillation, precision, clarity and detail . . . Atwood writes with compassion and intensity not only about her characters but also about the 20th century itself' Mary Flanagan, Independent","By the author of The Handmaid's Tale and Alias Grace This collection of short stories follows a woman at different points in her life, from the loneliness of childhood, the ardour and confusion of young adulthood, and the mortality we must ...",Hachette UK
Shockaholic,,['Carrie Fisher'],171,"Presents a memoir about the actress' relationship with her father, singer Eddie Fisher, her electroconvulsive therapy, and her past encounters with such recently-deceased celebrities as Michael Jackson, Elizabeth Taylor, and Senator Edward Kennedy.","Presents a memoir about the actress' relationship with her father, singer Eddie Fisher, her electroconvulsive therapy, and her past encounters with such recently-deceased celebrities as Michael Jackson, Elizabeth Taylor, and Senator Edward ...",Simon and Schuster
Tyson,,['William F. McNeil'],252,"Covering Mike Tyson’s rise through the amateur and professional boxing ranks, this book follows the Brooklyn native from his early years as a young criminal in Brownsville to his 1988 heavyweight unification match with Michael Spinks. The book focuses on the Catskill Boxing Club—where boxing guru Cus D’Amato trained the 210-pound teenager in the finer points of the sport and developed his impregnable defense—and on his home life with D’Amato and surrogate mother Camille Ewald and the other young fighters who lived with them. Tyson’s boxing education began in the unauthorized “smokers” held every week in the Bronx, matching his skills against older, more experienced fighters. He won the 1981 Amateur Heavyweight Boxing Championship in Colorado Springs at the age of 14 and repeated the amazing feat the following year. By 1985, finding no other challenging amateur competition, he was forced to join the professional ranks where, in November 1986, he became the youngest heavyweight champion in boxing history. Less than two years later, he unified the crown, establishing himself as one of the most dominant heavyweight fighters the sport had ever seen.","Covering Mike Tyson's rise through the amateur and professional boxing ranks, this book follows the Brooklyn native from his early years as a young criminal in Brownsville to his 1988 heavyweight unification match with Michael Spinks.",McFarland
Little Book Of Language,,['David Crystal'],273,"With a language disappearing every two weeks and neologisms springing up almost daily, an understanding of the origins and currency of language has never seemed more relevant. In this charming volume, a narrative history written explicitly for a young audience, expert linguist David Crystal proves why the story of language deserves retelling. From the first words of an infant to the peculiar modern dialect of text messaging, A Little Book of Language ranges widely, revealing language's myriad intricacies and quirks.","In this charming volume, a narrative history written explicitly for a young audience, expert linguist David Crystal proves why the story of language deserves retelling.",Yale University Press
Jammy Dodger,,['Kevin Smith'],295,"Life is sweet for would-be bohemian Artie Conville. Safe at the helm of his subsidised magazine—with a cosy office paid for by the tax-payer—he's content to drift along quoting poetry, lingering over long lunches and flirting with the lovely Rosie McCann. The main thing is to keep the real world—of nine-to-five jobs, mortgages and political violence—at bay. So when his cushy number is threatened, Artie hatches a cunning plan to keep the funds coming in. But events quickly spiral out of control and before long he is up to his ears in a bizarre fraud. Can he avert disaster? Will he get the girl? With a cast of characters that includes a gun-toting playwright, a jealous police chief, a drunken actor and a giant white rabbit, this is a rich and riotous tale about coming-of-age in 1980s Belfast; a novel that is by turns darkly ironic and laugh-out-loud funny.","With a cast of characters that includes a gun-toting playwright, a jealous police chief, a drunken actor and a giant white rabbit, this is a rich and riotous tale about coming-of-age in 1980s Belfast; a novel that is by turns darkly ironic ...",Sandstone Press Ltd
Get Some Headspace,,['Andy Puddicombe'],214,"'If you're thinking about trying mindfulness, this is the perfect introduction....I'm grateful to Andy for helping me on this journey.' BILL GATES 'It's kind of genius' EMMA WATSON Feeling stressed about Christmas/Brexit/everthing? Try this... Demystifying meditation for the modern world: an accessible and practical route to improved health, happiness and well being, in as little as 10 minutes. Andy Puddicombe, founder of the celebrated Headspace, is on a mission: to get people to take 10 minutes out of their day to sit in the now. Here he shares his simple to learn, but highly effective techniques of meditation. * Rest an anxious, busy mind * Find greater ease when faced with difficult emotions, thoughts, circumstances * Improve focus and concentration * Sleep better * Achieve new levels of calm and fulfilment. The benefits of mindfulness and meditation are well documented and here Andy brings this ancient practice into the modern world, tailor made for the most time starved among us. First published as Get Some Headspace, this reissue shows you how just 10 minutes of mediation per day can bring about life changing results.","Andy Puddicombe, founder of Headspace, is on a mission: to get people to take 10 minutes out of their day to sit in the here and now. Here he shares his simple to learn but highly effective techniques of meditation.",Hodder Paperbacks
Words Words Words,"Words Are Free, Its How You Use Them That May Cost You","['J. Martin, Reverend']",38,"There is simply no value put on words, we can all speak them; they don't cost any money, as they are free to all they are simply not appreciated. Words, however, are the reason that one person lives a life of abundance while another person lives a life of lack. Words can open doorways that hands can not. They can break down invisible boundaries. A few words can destroy life or breathe new life into a withering one. Words can fill a person full of happiness or fill them full of despair. Words can build up a person's confidence, or take it crashing to the ground. As most people do not value their words, they misuse them, which allows the power of their words to work against them. They want to go in one direction, but their words push them in another. This conflict is what most people battle with each day. They ask God to grace their lives with favor, health and abundance, but their words keep them in a life full of disappointment, sickness, and lack. In this book, I want to share with you the correct way to harness the power of your words, so instead of holding you back, they propel you towards the life that you desire. The life that you were destined to live. I will draw from personal experience and Scripture to illustrate how positive thoughts and words can be used to overcome every challenge that stands in your way. I will share how important it is to stop the habit of talking idly about your problems and instead focus on speaking about solutions. ""Knowing is not enough; we must apply. Willing is not enough; we must do.""- Johann Wolfgang von Goethe Pick up your copy today by clicking the BUY NOW button at the top of this page.","In this book, I want to share with you the correct way to harness the power of your words, so instead of holding you back, they propel you towards the life that you desire. The life that you were destined to live.",Createspace Independent Publishing Platform
Drop Dead Healthy,One Man's Humble Quest for Bodily Perfection,['A. J. Jacobs'],418,"This is a hilarious account of one man's painful journey from slob to superman, and a fascinating and eye-opening examination of what it really means to be healthy.","'Who wouldn't want to be fitter, happier, more productive? In this riotous, madcap book, A. J. Jacobs sets himself an ambitious goal: to become the person we all wish we could be. Do your future self a favour and buy this book.",Random House
How Language Works,,['David Crystal'],715,"In this fascinating survey of everything from how sounds become speech to how names work, David Crystal answers every question you might ever have had about the nuts and bolts of language in his usual highly illuminating way. Along the way we find out about eyebrow flashes, whistling languages, how parents teach their children to speak, how politeness travels across languages and how the way we talk show not just how old we are but where we’re from and even who we want to be.","In this fascinating survey of everything from how sounds become speech to how names work, David Crystal answers every question you might ever have had about the nuts and bolts of language in his usual highly illuminating way.",Penguin UK
English As A Global Language,,['David Crystal'],227,"Written in a detailed and fascinating manner, this book is ideal for general readers interested in the English language.","Written in a detailed and fascinating manner, this book is ideal for general readers interested in the English language.",Cambridge University Press
Junky,,['William S. Burroughs'],208,"Burroughs’ first novel, a largely autobiographical account of the constant cycle of drug dependency, cures and relapses, remains the most unflinching, unsentimental account of addiction ever written. Through junk neighbourhoods in New York, New Orleans and Mexico City, through time spent kicking, time spent dealing and time rolling drunks for money, through junk sickness and a sanatorium, Junky is a field report (by a writer trained in anthropology at Harvard) from the American post-war drug underground. A cult classic, it has influenced generations of writers with its raw, sparse and unapologetic tone. This definitive edition painstakingly recreates the author’s original text word for word.","A cult classic, it has influenced generations of writers with its raw, sparse and unapologetic tone. This definitive edition painstakingly recreates the author’s original text word for word.",Penguin UK
Why Kindness Is Good For You,,['David R. Hamilton'],304,"Scientific evidence has proven that kindness changes the brain, impacts the heart and immune system, and may even be an antidote to depression.We're actually genetically wired to be kind. In this book, inspirational ex-scientist David Hamilton shows that kindness has evolved in us and thus its effects are felt daily throughout our nervous systems. When we're kind, our bodies are healthiest.This groundbreaking book is filled with fascinating new discoveries, including:. how kindness developed in our genes. that love and kindness can make a damaged heart regenerate faster. how kindness and compassion alter the neural structures of our brains. that gratitude can make you at least 25% happier.This unique book fuses scientific research around being kind with inspirational real life examples of kindness from ordinary people. Reading these stories will nourish your soul and leave you with renewed optimism for the future, and this book will help you see the many levels on which taking the time to make a difference could transform your health - and your whole world.","We're actually genetically wired to be kind. In this book, the author shows that kindness has evolved in us and thus its effects are felt daily throughout our nervous systems.","Hay House, Inc"
Urban Worrier,Adventures in the Lost Art of Letting Go,['Nick Thorpe'],416,"Hunched exhausted at his computer one ordinary Monday morning, world-class workaholic Nick Thorpe has reached the end of his tether. Fearing for his health and family life, he knows something has to change. But where to start when trying too hard is part of the problem? Nick makes a bold resolution: he will spend a year learning to let go. Beginning with a plunge off a Cornish cliff, he soon graduates to wing-walking on a bi-plane, city-centre clowning and a revealing weekend at a naturist convention. But the more he tries to relax, the bigger the questions: can you be happy if you're not in control? Is true contentment all in the mind? And what does his small, brown dog know that Nick doesn't? From a school where pupils make the rules, to meditation and rafting in Sweden; from the chaos of a Durban street shelter to a silent monastery in New Mexico, URBAN WORRIER charts a humorous and often moving quest for the ultimate modern grail: how to find balance and fulfilment in today's high-speed world.","'Urban Worrier chronicles a breathtaking year' Jonathan Sale, Independent 'Thorpe's epiphany is profound and affecting, and it is the counterpoint of poignancy and comedy that makes this very personal search for peace so utterly life ...",Hachette UK
Silas Marner,,['George Eliot'],286,,,
The English And Their Manners,,['Henry Hitchings'],400,"Most of us know a bit about what passes for good manners - holding doors open, sending thank-you notes, no elbows on the table. We certainly know bad manners when we see them. But where has this patchwork of beliefs and behaviours come from? How did manners develop? How do they change? And why do they matter so much to us? In examining our manners, Henry Hitchings delves into the English character and investigates our notions of Englishness. Sorry! presents an amusing, illuminating and quirky audit of English manners. From basic table manners to appropriate sexual conduct, via hospitality, chivalry, faux pas and online etiquette, Hitchings traces the history of our country's customs and courtesies. Putting under the microscope some of our most astute observers of humanity, including Jane Austen and Samuel Pepys, he uses their lives and writings to pry open the often downright peculiar secrets of the English character. Hitchings' blend of history, anthropology and personal journey helps us understand our bizarre and contested cultural baggage - and ourselves.","How did manners develop? How do they change? And why do they matter so much to us? In examining our manners, Henry Hitchings delves into the English character and investigates our notions of Englishness.",Hachette UK
Purity,An Introduction to the Thought of the Brethren of Purity,['Ian Richard Netton'],164,"The tenth or eleventh century group of the Brethren of Purity (Ikhwan al Safa) are as well known in the Arab world as Darwin, Marx and Freud in the west. Designed as an introduction to their ideas, this book concentrates on the Brethren's writings, analyzing the impact on them of thinkers such as Pythagoras, Plato, Aristotle and the Neoplatonists. Ian Netton traces the influences of Judaism and Christianity, and controversially this book argues that the Brethren of Purity did not belong to the Ismaili branch of Islam as is generally believed.","Ian Netton traces the influences of Judaism and Christianity, and controversially this book argues that the Brethren of Purity did not belong to the Ismaili branch of Islam as is generally believed.",Routledge
Biocentrism,How Life and Consciousness are the Keys to Understanding the True Nature of the Universe,"['Robert Lanza', 'Bob Berman']",200,"Robert Lanza is one of the most respected scientists in the world — a US News & World Report cover story called him a “genius"" and a “renegade thinker,"" even likening him to Einstein. Lanza has teamed with Bob Berman, the most widely read astronomer in the world, to produce Biocentrism, a revolutionary new view of the universe. Every now and then a simple yet radical idea shakes the very foundations of knowledge. The startling discovery that the world was not flat challenged and ultimately changed the way people perceived themselves and their relationship with the world. For most humans of the 15th century, the notion of Earth as ball of rock was nonsense. The whole of Western, natural philosophy is undergoing a sea change again, increasingly being forced upon us by the experimental findings of quantum theory, and at the same time, towards doubt and uncertainty in the physical explanations of the universe's genesis and structure. Biocentrism completes this shift in worldview, turning the planet upside down again with the revolutionary view that life creates the universe instead of the other way around. In this paradigm, life is not an accidental byproduct of the laws of physics. Biocetnrism takes the reader on a seemingly improbable but ultimately inescapable journey through a foreign universe—our own—from the viewpoints of an acclaimed biologist and a leading astronomer. Switching perspective from physics to biology unlocks the cages in which Western science has unwittingly managed to confine itself. Biocentrism will shatter the reader's ideas of life--time and space, and even death. At the same time it will release us from the dull worldview of life being merely the activity of an admixture of carbon and a few other elements; it suggests the exhilarating possibility that life is fundamentally immortal. The 21st century is predicted to be the Century of Biology, a shift from the previous century dominated by physics. It seems fitting, then, to begin the century by turning the universe outside-in and unifying the foundations of science with a simple idea discovered by one of the leading life-scientists of our age. Biocentrism awakens in readers a new sense of possibility, and is full of so many shocking new perspectives that the reader will never see reality the same way again.","Biocentrism awakens in readers a new sense of possibility, and is full of so many shocking new perspectives that the reader will never see reality the same way again.","BenBella Books, Inc."
The Children Act,,['Ian McEwan'],32,"A brilliant, emotionally wrenching new novel from the author of Atonement and Amsterdam. Fiona Maye, a leading High Court judge, renowned for her fierce intelligence and sensitivity is called on to try an urgent case. For religious reasons, a seventeen-year-old boy is refusing the medical treatment that could save his life. Time is running out. She visits the boy in hospital - an encounter which stirs long-buried feelings in her and powerful new emotions in the boy. But it is Fiona who must ultimately decide whether he lives or dies and her judgement will have momentous consequences for them both.","A brilliant, emotionally wrenching new novel from the author of Atonement and Amsterdam.",Random House
At The Existential Cafe,"Freedom, Being, and Apricot Cocktails",['Sarah Bakewell'],474,"Shortlisted for the PEN Hessell-Tiltman Prize Paris, near the turn of 1932-3. Three young friends meet over apricot cocktails at the Bec-de-Gaz bar on the rue Montparnasse. They are Jean-Paul Sartre, Simone de Beauvoir and their friend Raymond Aron, who opens their eyes to a radical new way of thinking... ‘It’s not often that you miss your bus stop because you’re so engrossed in reading a book about existentialism, but I did exactly that... The story of Sartre, Beauvoir, Camus, Heidegger et al is strange, fun and compelling reading. If it doesn’t win awards, I will eat my copy’ Independent on Sunday ‘Bakewell shows how fascinating were some of the existentialists’ ideas and how fascinating, often frightful, were their lives. Vivid, humorous anecdotes are interwoven with a lucid and unpatronising exposition of their complex philosophy... Tender, incisive and fair’ Daily Telegraph ‘Quirky, funny, clear and passionate... Few writers are as good as Bakewell at explaining complicated ideas in a way that makes them easy to understand’ Mail on Sunday","The story of Sartre, Beauvoir, Camus, Heidegger et al is strange, fun and compelling reading.",Random House
The Course Of Love,A Novel,['Alain de Botton'],240,"How does love survive and thrive in the long term? In Edinburgh, Rabih and Kirsten, fall in love, get married, have children. But this is their story after the first flush of infatuation. As Rabih and Kirsten reform their ideals under the pressures of an average existence, they discover that love is a skill that needs to be learned, and not just experienced.","How does love survive and thrive in the long term? In Edinburgh, Rabih and Kirsten, fall in love, get married, have children. But this is their story after the first flush of infatuation.",Simon and Schuster
Nausea,,['Jean-Paul Sartre'],221,"Jean-Paul Sartre's first published novel, Nausea is both an extended essay on existentialist ideals, and a profound fictional exploration of a man struggling to restore a sense of meaning to his life. This Penguin Modern Classics edition is translated from the French by Robert Baldick with an introduction by James Wood. Nausea is both the story of the troubled life of an introspective historian, Antoine Roquentin, and an exposition of one of the most influential and significant philosophical attitudes of modern times - existentialism. The book chronicles his struggle with the realisation that he is an entirely free agent in a world devoid of meaning; a world in which he must find his own purpose and then take total responsibility for his choices. A seminal work of contemporary literary philosophy, Nausea evokes and examines the dizzying angst that can come from simply trying to live. Jean-Paul Sartre (1905-1980) was an iconoclastic French philosopher, novelist, playwright and, widely regarded as the central figure in post-war European culture and political thinking. Sartre famously refused the Nobel Prize for literature in 1964 on the grounds that 'a writer should not allow himself to be turned into an institution'. His most well-known works, all of which are published by Penguin, include The Age of Reason, Nausea and Iron in the Soul. If you enjoyed Nausea, you might like Albert Camus' The Outsider, also available in Penguin Modern Classics. 'One of the very few successful members of the genre ""Philosophical Novel"" ... a young man's tour de force' Iris Murdoch","Nausea is both the story of the troubled life of an introspective historian, Antoine Roquentin, and an exposition of one of the most influential and significant philosophical attitudes of modern times - existentialism.",Penguin UK
The Stranger,,['Albert Camus'],96,"Camus's landmark novel traces the aftermath of a shocking crime and the man whose fate is sealed with one rash and foolhardy act. The Stranger presents readers with a new kind of protagonist, a man unable to transcend the tedium and inherent absurdity of everyday existence in a world indifferent to the struggles and strivings of its human denizens.","The Stranger presents readers with a new kind of protagonist, a man unable to transcend the tedium and inherent absurdity of everyday existence in a world indifferent to the struggles and strivings of its human denizens.",
Submission,,['Michel Houellebecq'],155,"In a near-future France, François, a middle-aged academic, is watching his life slowly dwindle to nothing. His sex drive is diminished, his parents are dead, and his lifelong obsession – the ideas and works of the nineteenth-century novelist Joris-Karl Huysmans – has led him nowhere. In a late-capitalist society where consumerism has become the new religion, François is spiritually barren, but seeking to fill the vacuum of his existence. And he is not alone. As the 2022 Presidential election approaches, two candidates emerge as favourites: Marine Le Pen of the Front National, and Muhammed Ben Abbes of the nascent Muslim Fraternity. Forming a controversial alliance with the mainstream parties, Ben Abbes sweeps to power, and overnight the country is transformed. Islamic law comes into force: women are veiled, polygamy is encouraged and, for François, life is set on a new course. Submission is both a devastating satire and a profound meditation on isolation, faith and love. It is a startling new work by one of the most provocative and prescient novelists of today.","His sex drive is diminished, his parents are dead, and his lifelong obsession – the ideas and works of the nineteenth-century novelist Joris-Karl Huysmans – has led him nowhere.",Random House
Straight Life,The Unconventional Strategies Real College Students Use to Score High While Studying Less,['Cal Newport'],217,"Offers time-management strategies, tips on taking tests, techniques for writing essays better and faster, and self-assessment tests to help students analyze their study skills.","Offers time-management strategies, tips on taking tests, techniques for writing essays better and faster, and self-assessment tests to help students analyze their study skills.",Random House of Canada
Funny Girl,,['Nick Hornby'],432,"Dans les Swinging Sixties la nation tout entière est sous le charme de Sophie Straw, la nouvelle star de la comédie à succès de la BBC. Ça tombe bien, cette ancienne Miss Blackpool n’a qu’une ambition dans la vie : faire rire les gens. En studio comme à l’écran, l’équipe du feuilleton vit de grands moments. Les scénaristes, pour qui le genre comique est une religion, cachent tous deux un secret. Pur produit d’Oxbridge, le producteur est dévoué corps et âme à l’équipe en général et à Sophie en particulier. Quant à Clive, le premier rôle masculin, il a la tenace intuition que ce n’est qu’une parenthèse dans sa carrière... Lorsque la fi ction rejoint la réalité de trop près et que le scénario épouse les péripéties de la vie, chacun doit faire un choix. Continuer ou changer de chaîne ? Une défense et illustration de la pop culture et du ivertissement, pleine de fous rires et de tendresse. Traduit de l’anglais par Christine Barbaste « Hornby est une des voix les plus drôles et les plus subtiles de la fiction contemporaine. » Chicago Tribune « Hornby est un écrivain qui ose tout, à la fois l’humour, l’intelligence et la générosité. » The New York Times Book Review « Son roman le plus ambitieux. » The Times « Un roman poignant et plein d’esprit sur la comédie, les classes, les mutations sociales... sans doute son meilleur. » The Irish Times « Une défense sincère et une illustration réussie de ce que le divertissement populaire peut accomplir. » The Daily Telegraph « Une lettre d’amour à la révolution culturelle de la TV des années 1960 et à quelques-uns des auteurs préférés de Hornby... Funny Girl est son roman le plus lumineux. » Metro « Sujet oblige, ce roman est plein de fous rires mais aussi plus profond qu’il n’y paraît. » The New York Times « Funny Girl ricoche allègrement, tel un caillou sur l’eau. Impossible à lâcher. » Newsweek","Funny Girl est son roman le plus lumineux. » Metro « Sujet oblige, ce roman est plein de fous rires mais aussi plus profond qu’il n’y paraît. » The New York Times « Funny Girl ricoche allègrement, tel un caillou sur l’eau.",Stock
As You Wish,Inconceivable Tales from the Making of The Princess Bride,"['Cary Elwes', 'Joe Layden']",272,"In a twenty-fifth anniversary, behind-the-scenes account of the making of the cult classic film, the lead actor shares never-before-told stories and exclusive photographs as well as interviews with fellow actors and producers of the film.","In a twenty-fifth anniversary, behind-the-scenes account of the making of the cult classic film, the lead actor shares never-before-told stories and exclusive photographs as well as interviews with fellow actors and producers of the film.",Simon and Schuster
So You'Ve Been Publicly Shamed,,['Jon Ronson'],169,"From the Sunday Times top ten bestselling author of The Psychopath Test, a captivating and brilliant exploration of one of our world's most underappreciated forces: shame. 'It's about the terror, isn't it?' 'The terror of what?' I said. 'The terror of being found out.' For the past three years, Jon Ronson has travelled the world meeting recipients of high-profile public shamings. The shamed are people like us - people who, say, made a joke on social media that came out badly, or made a mistake at work. Once their transgression is revealed, collective outrage circles with the force of a hurricane and the next thing they know they're being torn apart by an angry mob, jeered at, demonized, sometimes even fired from their job. A great renaissance of public shaming is sweeping our land. Justice has been democratized. The silent majority are getting a voice. But what are we doing with our voice? We are mercilessly finding people's faults. We are defining the boundaries of normality by ruining the lives of those outside it. We are using shame as a form of social control. Simultaneously powerful and hilarious in the way only Jon Ronson can be, So You've Been Publicly Shamed is a deeply honest book about modern life, full of eye-opening truths about the escalating war on human flaws - and the very scary part we all play in it.","Simultaneously powerful and hilarious in the way only Jon Ronson can be, So You've Been Publicly Shamed is a deeply honest book about modern life, full of eye-opening truths about the escalating war on human flaws - and the very scary part ...",Pan Macmillan
Adultery,,[],174,,,Worthy Shorts Inc
